Time	FINAL TIME	INITIAL TIME	SAVEPER	TIME STEP	y1	y2	y3	y4	y5	y6	β12	β21	δ1	δ2	δ4	δ5	δ6	ε3	ζ1	ζ2	η1	η2	λ1	λ2	λ3	λ7	λ8	λ9
0	100	0	1	1	167.527	196.222	220.055	272.638	345.956	281.363	0.5	1.2	25	25	25	25	25	25	63.8166	40.2435	209.577	291.736	1	1	1	1	1	1
1			1		278.316	206.646	234.583	406.982	375.237	339.966									70.6218	61.9637	253.631	366.321						
2			1		233.331	165.855	171.165	276.178	263.88	298.899									41.4061	55.2828	172.807	262.651						
3			1		200.371	200.866	216.179	269.645	286.863	263.925									44.4635	56.1572	181.096	273.472						
4			1		151.308	192.777	145.154	204.277	199.879	229.94									41.3568	40.3973	154.035	225.239						
5			1		161.775	233.747	263.685	347.284	309.783	366.07									65.5997	49.6556	225.779	320.591						
6			1		138.688	201.358	149.52	213.447	225.436	235.474									41.0716	44.7304	158.747	235.227						
7			1		168.31	134.826	139.441	230.404	267.269	261.272									47.8678	48.4305	179.96	264.383						
8			1		184.536	143.505	175.723	204.851	194.971	225.463									52.88	24.3998	162.925	219.91						
9			1		203.112	144.532	201.013	284.65	285.724	290.837									44.6998	60.9905	187.786	286.334						
10			1		180.815	144.985	175.073	279.106	229.956	303.206									48.5222	50.0998	184.147	271.077						
11			1		188.653	147.846	164.176	249.154	247.092	208.693									49.3746	38.0263	171.204	243.471						
12			1		224.1	152.25	171.25	293.082	264.662	279.037									54.7533	48.9152	197.81	286.288						
13			1		251.195	194.901	205.835	328.369	324.402	310.513									57.5352	57.8765	215.923	316.984						
14			1		197.271	162.418	157.264	191.109	288.395	282.679									52.4054	38.4235	179.236	253.506						
15			1		176.546	153.677	147.747	283.909	264.34	243.419									52.3261	37.0276	177.356	249.855						
16			1		130.002	139.508	172.781	279.11	299.798	253.174									45.9264	44.9636	170.921	250.068						
17			1		115.19	152.871	136.193	201.742	229.208	184.777									28.4434	49.6653	133.313	209.641						
18			1		199.518	223.544	221.205	287.791	313.204	323.697									59.7836	48.6524	209.998	300.65						
