Time	FINAL TIME	INITIAL TIME	SAVEPER	TIME STEP	x1	x2	x3	y1	y2	y3	γ11	δ1	δ2	δ3	ε1	ε2	ε3	ζ1	η1	λ1	λ2	λ3	λ7	λ8	λ9	ξ1
0	100	0	1	1	54.8433	57.4005	53.4482	154.191	173.187	161.914	3	5	5	5	5	5	5	5	162.114	1	1	1	1	1	1	56.3702
1			1		-12.6047	-27.923	-22.1841	-60.2631	-45.5994	-58.518									-56.4433							-19.513
2			1		34.2383	28.8644	14.5305	76.1049	69.7559	62.7018									67.9726							23.9274
3			1		6.26859	22.6702	9.17516	34.0735	31.6138	38.6176									31.3682							10.5655
4			1		9.54619	16.1694	16.2686	43.1944	46.638	42.0504									43.9598							12.3144
5			1		-23.527	-19.7508	-11.4571	-63.5848	-64.4643	-58.4521									-59.3923							-19.2054
6			1		7.11101	-13.4897	0.904718	10.8532	3.35304	14.6104									5.51465							-0.688828
7			1		-15.0033	-14.5511	-2.017	-37.8188	-35.421	-33.4133									-33.4627							-10.5391
8			1		-4.20506	-5.46916	-12.1659	-24.3168	-16.9438	-18.1431									-17.5209							-3.13898
9			1		-49.7605	-46.8783	-55.0844	-154.054	-156.03	-149.931									-151.042							-51.2005
10			1		19.3308	25.0461	13.3301	68.2514	68.4661	69.4887									68.5881							21.9809
11			1		-0.539346	-0.466821	-7.63283	0.389503	-9.44038	5.20966									-1.21627							0.19956
12			1		-24.26	-20.4576	-28.6189	-72.1109	-72.5234	-80.2031									-73.2476							-23.9474
13			1		0.207077	3.08841	-11.2817	-10.4619	-16.1459	-13.271									-11.8208							-2.1696
14			1		19.5206	22.8074	11.5486	47.5183	46.7249	43.9471									45.2415							15.753
15			1		-21.9502	-19.5458	-26.5165	-86.3323	-66.8753	-68.0185									-73.8529							-23.1529
16			1		-24.7817	-26.1067	-30.6806	-76.9451	-80.859	-85.0431									-83.756							-25.9447
17			1		-12.1096	-18.2564	-16.3552	-24.0379	-19.9002	-29.2249									-29.8461							-10.0728
18			1		-11.4476	-4.29387	3.24235	-3.01173	2.48154	-6.40473									-1.43191							-0.66933
19			1		2.19661	-4.7912	0.0138719	-8.41624	-3.33353	-1.23503									-5.84433							-2.69519
20			1		20.7795	21.0019	19.9405	69.4329	72.4894	70.0562									71.2982							22.45
