Time	A	alk	alpha	apc	AY	C	cAY	CDY	cEMP	CGS	CGT	cLED	cLU	cP	cPY	cSED	DEMP	DII	DIV	DK	ee	egs	egt	ek	em	EMP	ep	ey	eyvm	fcu	FINAL TIME	FS	G	GT	iem	INITIAL TIME	IV	K	KD	KI	LED	lr	LU	M	nic	nru	ntr	P	PT	PTY	PY	R	RCM	rw	SAVEPER	scgs	scgt	scmg	scms	sdc	SED	sgyt	spc	stm	T	tae	tai	tak	tam	TIME STEP	TMS	tsay	tsld	tssd	tsu	tsy	U	Y	yem
0	20500	14	0.25	0.77993	20000	12478.9	0	16000	0	1.11022e-13	1.48215e-13	125	0	-9.71445e-18	0	1000	1	500.001	6000	49295.8	1	4000	2000	49295.8	4000	1	1	20000	5	0.5	10	20000	4000	2000	-1	0	5800	49295.8	3521.13	3521.13	20000	0.03	0.05	4000	0.3	0.05	0.3	1	2.77556e-17	20000	16000	0.03	1.44329e-13	15000	0.0625	1	2.67	1.3	0.8	0	20000	2.2	0.0175	1	6000	0.4	0.4	3	0.0625	0.0625	4000	2.5	4	0.5	0.0625	2.5	0.05	20000	0.7
1	20033.9			0.77993	20062.6	12486.7	69.9666	16010.1	-0.00199858	-52.9035	-70.6262	-12.3567	-0.00131069	0.00636563	0.0599408	-460.565	1.01321	94.4568	6025	49257.7				49295.8	4000	1.01401						19939.4	3947.1	1929.37			5987.21	49306.2	3521.87	3505.69	20083.3		0.0367741	3954.43			0.3	1.00293	-0.0132259	20210.8	16010	0.0305013	-15.9684	15000	0.0625						20264.2				6156.75						3957.68						0.0366922	20237.5	
2	19717			0.77993	20059.5	12478.1	-74.7907	15965.4	-0.0185831	6.57365	8.77582	-74.3665	0.0190748	-0.000945024	-13.418	-149.349	0.989582	-266.905	6004.33	49215.4				49295.8	4000	0.997015						19983.9	4006.57	2008.78			6111.09	49277.1	3519.79	3499.23	20014.4		0.0516434	4001.34			0.3	1.00621	0.00164341	19953.3	15999	0.030239	71.3275	15000	0.0625						19791.6				5915.84						4005.26						0.0528356	19872.5	
3	20152			0.77993	19994.7	12475.6	-19.7276	16014.8	0.012304	25.0299	33.4149	38.6064	-0.0107471	-0.00176582	7.588	342.314	0.999042	117.164	5999.27	49320.4				49295.8	4000	0.99412						20034.8	4025.03	2033.41			5952.4	49277.3	3519.81	3534.15	19997.6		0.0562575	4024.18			0.3	1.00412	0.00625747	19909.9	15995.9	0.0299371	-33.8197	15000	0.0625						19980.8				5963.94						4020.02						0.0555858	19945.4	
4	20032.3			0.77993	20011.6	12481.2	30.1297	16007	0.00163717	-16.8782	-22.5324	0.588806	-0.00291571	0.0016964	1.61634	-146.961	1.00529	58.1069	6008.98	49251.7				49295.8	4000	1.00463						19974.2	3983.12	1977.47			5985.74	49282.7	3520.19	3509.85	20029.9		0.0457805	3986.07			0.3	1.00417	-0.00421955	20068.1	16003	0.0302428	-15.0788	15000	0.0625						20105.8				6057.39						3986.5						0.0455982	20086.9	
5	19879.5			0.77993	20015.8	12478.5	-24.9177	15985.8	-0.0076522	1.20794	1.61261	-31.492	0.00766678	-0.000270612	-5.4807	-85.5984	0.996117	-104.592	6001.65	49222.4				49295.8	4000	0.999178						19984.1	4001.21	2001.61			6043.49	49266.1	3519.01	3504.44	20005.5		0.050302	3999.31			0.3	1.00524	0.000301986	19984.7	15999.5	0.0301791	28.0218	15000	0.0625						19922.3				5969.31						4000.97						0.0507812	19953.5	
6	20044.8			0.77993	19990.9	12477.1	-10.1783	16003.8	0.00419656	11.6268	15.5218	12.4521	-0.00352032	-0.00089627	2.44938	135.678	0.998851	36.1714	5998.51	49264.6				49295.8	4000	0.997172						20008.7	4011.63	2015.52			5984.04	49260.4	3518.6	3520	19995		0.0529067	4010.9			0.3	1.00435	0.0029067	19954	15997.7	0.0300391	-10.4954	15000	0.0625						19977				5977.23						4009.3						0.0526867	19965.5	
7	20019.2			0.77993	19996.4	12479.2	13.1081	16003.2	0.0013906	-5.0571	-6.75122	2.8036	-0.00183703	0.000498439	1.075	-41.83	1.00201	32.2958	6002.41	49242.3				49295.8	4000	1.00145						19986.9	3994.94	1993.25			5989.49	49259.7	3518.55	3512.77	20008		0.0487357	3996.06			0.3	1.00417	-0.00126427	20018.1	16000.5	0.0301508	-8.25855	15000	0.0625						20040.2				6019.23						3995.95						0.0486209	20029.1	
8	19950			0.77993	20000.5	12478.4	-7.42369	15993.9	-0.00305317	0.0347239	0.0463564	-12.5244	0.00299147	-6.85194e-05	-2.19718	-42.8327	0.998573	-38.3892	6000.04	49227.4				49295.8	4000	0.999794						19988.4	4000.03	2000.05			6015.4	49251.3	3517.95	3509.99	20000.1		0.0500087	3999.36			0.3	1.00454	8.68097e-06	19992.4	15999.4	0.0301415	10.6971	15000	0.0625						19971.5				5988.07						4000.03						0.0501956	19981.9	
9	20011			0.77993	19991.6	12477.7	-4.54461	16000.2	0.00135869	5.2126	6.95883	3.99318	-0.00107604	-0.000423893	0.715508	52.2397	0.999243	11.337	5998.5	49244.4				49295.8	4000	0.998699						19999.6	4005.21	2006.96			5993.96	49247	3517.64	3516.77	19995		0.0513032	4004.78			0.3	1.00418	0.00130315	19975.5	15998.4	0.0300805	-2.94441	15000	0.0625						19984.8				5986.93						4004.17						0.0512359	19980.2	
