Week,ACT.ORD,MOD.OUT,INC.ORD,INV,SL
1,0,0,4,12,12
2,0,0,4,12,8
3,0,0,3,13,4
4,2,0,3,14,0
5,0,0,3,11,2
6,0,0,3,8,2
7,2,1,3,5,2
8,4,2,3,4,2
9,3,3,3,1,6
10,5,5,3,-2,9
11,8,6,4,-4,12
12,8,7,4,-4,16
13,8,7,4,-5,21
14,14,7,4,-4,24
15,8,5,4,0,30
16,4,5,4,0,34
17,12,8,6,-6,38
18,20,12,4,-10,50
19,10,10,4,-10,66
20,4,7,4,-6,68
21,4,7,4,-6,68
22,2,0,4,10,52
23,4,1,6,8,50
24,0,2,4,10,48
25,2,0,4,10,44
26,0,0,4,10,42
27,2,0,3,11,38
28,2,0,3,28,20
29,0,0,3,29,18
30,0,0,3,28,16
31,0,0,3,31,10
32,0,0,4,31,6
33,0,0,4,27,6
34,0,0,4,27,2
35,0,0,4,25,0
36,2,0,4,21,0
37,2,0,4,17,2
38,0,0,3,14,4
39,2,0,3,11,4
40,0,0,4,9,4
41,2,1,4,7,2
42,4,3,4,3,4
43,4,4,4,1,6
44,2,6,4,-3,10
45,2,7,3,-4,10
46,2,6,4,-4,8
47,4,7,4,-4,6
48,8,9,6,-8,8
