Week,D_Absenteeism,CO,In Office Cap,?,ACT.TPO,D_Work Intensity,D_Total Labor,D_Desired Labor,D_Effective labor fraction,SC
53,11.25,2089.96,2371.25,2089.96,0.985421485,0.993648919,79,82,0.874077,2072.655086
54,10.51428571,1994.3,2397,1994.3,1.063747764,1.001447643,79,82,0.883757,2118.365529
55,11.63571429,1930.07,2322.75,1930.07,1.101020603,1.025370789,78,82,0.892247,2072.466719
56,14.18571429,2104.68,2233.5,2104.68,0.986652427,1.033413924,78,82,0.899684,2009.444214
57,18.35,1992.07,2087.75,1992.07,0.979957227,1.031838103,78,82,0.906195,1891.908611
58,14.86428571,2121.33,2209.75,2121.33,0.972144507,1.023423464,78,82,0.911886,2015.040089
59,10.70714286,2133.6,2355.25,2133.6,1.03983489,1.027402611,78,82,0.916853,2159.418028
60,11.08571429,2123.22,2307,2123.22,1.013804685,1.012882531,77,82,0.921176,2125.153032
61,15.66428571,1997.04,2181.75,1997.04,1.017851877,1.007296895,78,82,0.92493,2017.966028
62,16.2,2023.69,2163,2023.69,0.998812363,1.006777624,78,82,0.928192,2007.679296
63,11.95714286,1986.25,2311.5,1986.25,1.099264743,1.014544668,78,82,0.931046,2152.112829
64,11.4,1972.5,2331,1972.5,1.074721512,0.974152724,78,82,0.933563,2176.135353
65,17.16428571,1893.9,2129.25,1893.9,1.071658995,1.018588705,78,82,0.935811,1992.575572
66,13.29457143,2020.24,2299.69,2020.24,1.067415672,0.999843457,79,82,0.937854,2156.773465
67,14.25,2097.67,2231.25,2097.67,1.036590216,1.037015126,78,82,0.939747,2096.810494
68,16.21428571,2039.01,2162.5,2039.01,1.027660115,1.029160694,78,82,0.94152,2036.037
69,15.79285714,2118.98,2212.25,2118.98,1.010944185,1.026642558,79,82,0.943193,2086.578714
70,16.72371429,2255.19,2179.67,2255.19,0.936454528,1.0255268,79,82,0.944783,2059.315162
71,15.51428571,2265.12,2292,2265.12,1.000247593,1.044624782,81,82,0.946289,2168.894388
72,14.964,2096.34,2311.26,2096.34,1.02385308,0.97989841,81,82,0.947697,2190.374168
73,12,2073.99,2415,2073.99,1.021742124,0.924616977,81,82,0.949006,2291.84949
74,12.4,2148.01,2401,2148.01,1.07281386,1.010037484,81,82,0.950235,2281.514235
75,10.25,2126.86,2511.25,2126.86,1.085090161,0.965941264,82,82,0.951402,2389.208273
76,13.12142857,2048.92,2410.75,2048.92,1.094365728,0.9764762,82,82,0.952519,2296.285179
77,10.78571429,2096.63,2492.5,2096.63,1.07066171,0.9444333,82,82,0.953603,2376.855478
78,16.97142857,2094.85,2276,2094.85,1.020338242,0.983717047,82,82,0.954673,2172.835748
79,13.63571429,2140.69,2392.75,2140.69,1.055622773,0.988151708,82,82,0.955744,2286.856456
80,15.7,2093.69,2320.5,2093.69,1.043725635,0.98420599,82,82,0.956822,2220.305451
81,14.15714286,2077.89,2374.5,2077.89,1.096043053,1.001246578,82,82,0.957937,2274.621407
82,14.50714286,1987.6,2362.25,1987.6,1.128110388,0.989552334,82,82,0.959215,2265.905634
83,16.08842858,2060.32,2306.905,2060.32,1.091108968,1.013694162,82,82,0.960648,2216.123674
84,17.66971429,2133.04,2251.56,2133.04,1.054107548,1.037835989,82,82,0.962214,2166.482554
85,13.04285714,2184.72,2413.5,2184.72,1.049310039,0.985431945,82,82,0.963886,2326.338861
86,15.42142857,2106.1,2330.25,2106.1,1.058925446,0.99113829,82,82,0.965623,2250.142996
87,13.37142857,2033.18,2402,2033.18,1.120128183,0.980095754,82,78,0.967391,2323.673182
88,14.15,2055.28,2339.75,2055.28,1.047306054,0.949238166,81,78,0.96917,2267.615508
89,12.25,2037.58,2406.25,2037.58,1.090973904,0.951463896,81,78,0.970948,2336.343625
90,12.97142857,2022.12,2381,2022.12,1.100597616,0.960928181,81,78,0.972714,2316.032034
91,14.86428571,1963.64,2314.75,1963.64,1.120416084,0.975375311,81,78,0.974463,2255.638229
92,17.71428571,1910.73,2215,1910.73,1.120105132,0.989805869,81,78,0.97619,2162.26085
93,8.871428571,2194.9,2524.5,2194.9,1.05264474,0.935892256,81,78,0.977902,2468.713599
94,12.17,2022.93,2409.05,2022.93,1.085896424,0.930864864,81,78,0.979573,2359.840336
95,10.82857143,2105.38,2491,2105.38,1.113458983,0.959169008,82,78,0.981151,2444.047141
96,13,2027.81,2380,2027.81,1.112011873,0.964218487,81,78,0.982617,2338.62846
97,10.41428571,2098.83,2400.5,2098.83,1.08037641,0.959991668,79,78,0.983973,2362.027187
98,9.651714286,2003.59,2427.19,2003.59,1.12633557,0.943708568,79,78,0.985224,2391.325841
99,11.81257143,2148.41,2351.56,2148.41,1.079212064,0.999596013,79,78,0.986378,2319.52705
100,10.9,2096.14,2418.5,2096.14,1.104650509,0.969588588,80,78,0.987442,2388.128477
101,9.958857143,2103.165,2468.94,2103.165,1.11740046,0.963197711,80,78,0.988423,2440.357082
102,9.017714286,2110.19,2519.38,2110.19,1.13015041,0.956806833,81,78,0.989327,2492.490657
103,8.171428571,2139.9,2549,2139.9,1.078881721,0.914727344,81,78,0.990161,2523.920389
104,12.12857143,2053.49,2375.5,2053.49,1.080438771,0.942529994,80,79,0.990929,2353.95184
