Time	FINAL TIME	INITIAL TIME	SAVEPER	TIME STEP	x1	x2	y1	y2	δ1	δ2	λ11	λ21	λ22
0	100	0	1	1	56.3702	-6.10765	282.881	118.496	5	3	5	3	8
1			1		-27.9855	-31.6911	-128.855	-337.605					
2			1		-19.513	27.6331	-105.975	160.923					
3			1		8.38245	-15.279	52.7562	-98.3292					
4			1		23.9274	41.2435	124.574	396.092					
5			1		-15.2382	32.5289	-74.4078	211.354					
6			1		10.5655	-17.1878	64.9324	-106.64					
7			1		-1.31385	10.8216	-6.32361	86.9805					
8			1		12.3144	-11.0729	65.4271	-49.2677					
9			1		28.0663	-3.06181	143.01	58.5587					
10			1		-19.2054	-17.2864	-96.5724	-191.258					
11			1		-7.10451	-16.7701	-40.5946	-154.91					
12			1		-0.688828	31.1994	-16.245	248.485					
13			1		30.3245	21.3543	149.461	267.266					
14			1		-10.5391	-17.8567	-56.7075	-169.358					
15			1		-7.38156	-17.4245	-38.866	-161.511					
16			1		-3.13898	-4.26432	-18.0251	-48.9476					
17			1		-32.4158	-27.1834	-161.502	-315.088					
18			1		-51.2005	5.75996	-251.68	-109.852					
19			1		10.2381	-12.047	46.2024	-64.9958					
20			1		21.9809	-10.6004	112.97	-24.0507					
21			1		10.5815	-1.34665	52.7855	21.5116					
22			1		0.19956	-2.95563	0.331418	-27.7458					
23			1		-7.2598	6.4231	-44.5231	33.4609					
24			1		-23.9474	-1.2507	-116.247	-84.6507					
25			1		-5.62193	4.54667	-27.3855	15.3343					
26			1		-2.1696	9.5067	-5.58998	64.0775					
27			1		-21.2482	5.43587	-110.566	-21.1278					
28			1		15.753	15.0704	85.8196	165.3					
29			1		-8.07059	9.10754	-38.8696	47.8719					
30			1		-23.1529	4.8109	-112.157	-32.9897					
31			1		-17.577	-49.9176	-80.9072	-448.571					
32			1		-25.9447	4.65211	-129.886	-43.4587					
33			1		-23.6873	27.2433	-115.539	146.112					
34			1		-10.0728	-8.14729	-58.5475	-99.1661					
35			1		1.48863	23.233	17.3891	190.703					
36			1		-0.66933	-43.1131	-6.97119	-344.566					
37			1		2.30432	-6.3193	15.4351	-46.6251					
38			1		-2.69519	19.5672	-15.572	150.077					
39			1		8.965	-10.2876	47.3358	-52.6406					
40			1		22.45	-6.68227	110.802	12.3862					
41			1		15.7925	-7.46101	80.1536	-13.0558					
42			1		-10.4633	-12.2673	-54.003	-128.943					
43			1		14.0772	-18.0475	71.8095	-103.257					
44			1		-6.57314	-24.6854	-28.5969	-219.862					
45			1		15.3815	13.0819	78.7974	153.034					
46			1		9.84831	0.163651	60.629	27.6928					
47			1		8.04622	3.20277	32.6636	47.0762					
48			1		13.7354	-30.3294	59.4834	-200.738					
49			1		10.0415	-9.83432	44.284	-48.8843					
50			1		3.5684	8.2364	19.8156	77.1467					
51			1		-7.16347	4.16155	-28.7312	8.26198					
52			1		-6.10818	7.56919	-29.931	41.9199					
53			1		21.1798	12.3173	115.04	162.662					
54			1		25.8347	-10.3248	127.348	-1.80452					
55			1		20.8016	-6.29451	110.524	6.56564					
56			1		14.7829	8.72381	63.0271	115.411					
57			1		33.8755	-8.22059	166.54	36.315					
58			1		-19.6053	4.15986	-98.5353	-25.7953					
59			1		-2.76014	-4.22508	-15.8362	-42.9601					
60			1		15.134	2.72589	77.1566	67.8126					
61			1		11.2869	9.64916	55.8072	110.921					
62			1		-17.8353	-3.53546	-93.9138	-81.2447					
63			1		34.6032	48.622	173.463	493.625					
64			1		5.45242	-8.04886	26.062	-42.4188					
65			1		20.4466	-6.13101	98.441	14.6359					
66			1		45.6322	35.8853	230.604	427.562					
67			1		1.91907	28.184	6.39496	229.19					
68			1		4.49552	-20.7967	23.4046	-155.266					
69			1		-14.9219	26.3283	-73.5478	167.886					
70			1		-10.4649	-14.5416	-46.6464	-147.827					
71			1		-9.87207	-13.7066	-51.3342	-135.847					
72			1		-7.3761	-6.07879	-38.4448	-70.6449					
73			1		41.3546	17.2447	207.571	261.035					
74			1		-6.44314	-27.348	-30.6097	-240.203					
75			1		18.2878	-22.3534	87.6487	-119.157					
76			1		0.77234	25.1885	6.73922	203.724					
77			1		23.5289	-46.9273	120.413	-300.817					
78			1		11.0044	-3.20539	50.338	11.6248					
79			1		-1.11758	16.2268	2.31511	127.077					
80			1		8.29094	6.12858	41.9228	74.3024					
81			1		5.88661	-10.8741	19.4796	-67.7627					
82			1		11.5908	6.15507	57.012	84.5665					
83			1		-8.99579	-7.55657	-42.9311	-87.5123					
84			1		-48.773	-9.51614	-232.176	-225.646					
85			1		36.5711	-18.5506	190.204	-38.0723					
86			1		-6.92308	-14.332	-26.41	-136.31					
87			1		-10.4295	13.8867	-56.7457	79.3926					
88			1		-2.84481	-4.17761	-9.76741	-36.8028					
89			1		-8.90993	-17.7432	-48.5926	-163.598					
90			1		3.69541	0.558121	14.6867	15.5995					
91			1		-10.8629	-1.91411	-49.6258	-49.9497					
92			1		-23.7189	-21.9398	-119.983	-249.902					
93			1		-30.3635	-19.8387	-152.396	-252.096					
94			1		15.2354	-1.8099	76.1687	28.7125					
95			1		-19.946	-26.445	-101.476	-269.248					
96			1		-25.7866	-14.2796	-116.944	-187.687					
97			1		2.39421	-3.24357	15.6193	-25.7735					
98			1		-37.6636	17.1092	-194.294	23.7664					
99			1		-14.4938	0.190821	-71.6432	-39.9021					
100			1		-18.9162	2.39458	-99.8052	-38.2696					
