Resident Population Grouped[AG0To4]
2000	225700
2001	223000
2002	217800
2003	209900
2004	204800
2005	199500
2006	194500
2007	193600
2008	193900
2009	197800
2010	194400
Resident Population Grouped[AG5To9]
2000	256600
2001	254100
2002	253200
2003	247000
2004	240500
2005	237200
2006	235200
2007	229500
2008	223600
2009	221400
2010	215700
Resident Population Grouped[AG10To14]
2000	235400
2001	247000
2002	257700
2003	259100
2004	257300
2005	258600
2006	256500
2007	255300
2008	253800
2009	248600
2010	244300
Resident Population Grouped[AG15To19]	
2000	211300
2001	210900
2002	209700
2003	214100
2004	227400
2005	234900
2006	246500
2007	257300
2008	262900
2009	262800
2010	263800
Resident Population Grouped[AG20to24]	
2000	212200
2001	214600
2002	216300
2003	215400
2004	215200
2005	219000
2006	219600
2007	218500
2008	225400
2009	241800
2010	247200
Resident Population Grouped[AG25to29]	
2000	267200
2001	262800
2002	262700
2003	250900
2004	246700
2005	247800
2006	251700
2007	254500
2008	263100
2009	274300
2010	272600
Resident Population Grouped[AG30to34]	
2000	290300
2001	286700
2002	289200
2003	287300
2004	290500
2005	293400
2006	293300
2007	294500
2008	289800
2009	297200
2010	298700
Resident Population Grouped[AG35to39]	
2000	322600
2001	322900
2002	320800
2003	310600
2004	302900
2005	299200
2006	298200
2007	302000
2008	307200
2009	317300
2010	320000
Resident Population Grouped[AG40to44]	
2000	312400
2001	318000
2002	320900
2003	318300
2004	321100
2005	321500
2006	323000
2007	321000
2008	317400
2009	313000
2010	309400
Resident Population Grouped[AG45to49]
2000	262200
2001	274600
2002	286700
2003	292800
2004	300700
2005	307500
2006	312900
2007	315600
2008	318100
2009	322500
2010	323500
Resident Population Grouped[AG50to54]	
2000	206700
2001	223800
2002	230400
2003	233200
2004	244100
2005	254200
2006	267000
2007	279200
2008	289200
2009	297400
2010	303000
Resident Population Grouped[AG55to59]	
2000	125100
2001	125400
2002	143200
2003	157900
2004	174800
2005	197800
2006	214600
2007	221000
2008	229400
2009	239900
2010	248700
Resident Population Grouped[AG60to64]	
2000	110500
2001	118500
2002	123400
2003	121700
2004	122700
2005	117600
2006	118200
2007	135500
2008	153200
2009	169700
2010	192000
Resident Population Grouped[AG65to69]	
2000	88300
2001	89700
2002	89600
2003	89900
2004	96000
2005	101100
2006	108800
2007	113800
2008	115200
2009	116300
2010	111500
Resident Population Grouped[AG70to74]	
2000	66900
2001	69000
2002	70600
2003	70000
2004	72500
2005	76500
2006	78300
2007	78600
2008	81300
2009	87400
2010	92600
Resident Population Grouped[AG75to79]	
2000	39600
2001	42500
2002	45800
2003	42900
2004	47900
2005	51600
2006	54400
2007	56700
2008	59000
2009	61500
2010	65200
Resident Population Grouped[AG80to84]	
2000	22900
2001	23900
2002	25200
2003	25800
2004	26900
2005	27900
2006	29400
2007	31500
2008	33900
2009	37100
2010	39800
Resident Population Grouped[AG85Over]	
2000	17500
2001	18500
2002	19800
2003	20100
2004	21300
2005	22600
2006	23700
2007	24900
2008	26400
2009	27800
2010	29200
Deaths Grouped[AG0To4]	
2000	185
2001	158
2002	162
2003	136
2004	115
2005	119
2006	119
2007	102
2008	122
2009	127
Deaths Grouped[AG5to9]	
2000	26
2001	25
2002	25
2003	25
2004	24
2005	24
2006	24
2007	23
2008	22
2009	22
Deaths Grouped[AG10to14]	
2000	47
2001	25
2002	26
2003	26
2004	26
2005	26
2006	51
2007	26
2008	25
2009	25
Deaths Grouped[AG15to19]	
2000	63
2001	84
2002	63
2003	64
2004	68
2005	47
2006	49
2007	51
2008	53
2009	53
Deaths Grouped[AG20to24]	
2000	106
2001	107
2002	108
2003	129
2004	108
2005	88
2006	88
2007	87
2008	90
2009	97	
Deaths Grouped[AG25to29]	
2000	107
2001	105
2002	105
2003	100
2004	74
2005	99
2006	101
2007	102
2008	105
2009	82
Deaths Grouped[AG30to34]	
2000	174
2001	172
2002	145
2003	144
2004	145
2005	147
2006	147
2007	118
2008	116
2009	119	
Deaths Grouped[AG35to39]	
2000	323
2001	258
2002	289
2003	217
2004	212
2005	239
2006	209
2007	181
2008	215
2009	190
Deaths Grouped[AG40to44]	
2000	437
2001	413
2002	385
2003	382
2004	417
2005	386
2006	420
2007	385
2008	381
2009	282
Deaths Grouped[AG45to49]	
2000	577
2001	549
2002	602
2003	615
2004	601
2005	584
2006	595
2007	600
2008	573
2009	516
Deaths Grouped[AG50to54]	
2000	723
2001	828
2002	806
2003	816
2004	806
2005	890
2006	854
2007	866
2008	925
2009	892
Deaths Grouped[AG55to59]	
2000	763
2001	803
2002	902
2003	916
2004	1014
2005	1127
2006	1137
2007	1127
2008	1170
2009	1128
Deaths Grouped[AG60to64]	
2000	1238
2001	1209
2002	1271
2003	1229
2004	1153
2005	1094
2006	1064
2007	1152
2008	1241
2009	1256
Deaths Grouped[AG65to69]	
2000	1731
2001	1615
2002	1577
2003	1573
2004	1574
2005	1618
2006	1534
2007	1605
2008	1601
2009	1489	
Deaths Grouped[AG70to74]	
2000	1947
2001	2001
2002	1977
2003	1960
2004	1907
2005	1897
2006	1848
2007	2036
2008	1959
2009	1897
Deaths Grouped[AG75to79]	
2000	2012
2001	1930
2002	2052
2003	2205
2004	2079
2005	2110
2006	2312
2007	2325
2008	2307
2009	2300
Deaths Grouped[AG80to84]	
2000	1862
2001	1773
2002	1872
2003	1932
2004	1945
2005	1973
2006	1964
2007	2133
2008	2136
2009	2163	
Deaths Grouped[AG85Over]	
2000	2406
2001	2436
2002	2552
2003	2683
2004	2667
2005	2859
2006	2958
2007	3120
2008	3176
2009	3344

