Time	A	alk	alpha	apc	AY	C	cAY	CDY	cEMP	CGS	CGT	cLED	cLU	cP	cPY	cSED	DEMP	DII	DIV	DK	ee	egs	egt	ek	em	EMP	ep	ey	eyvm	fcu	FINAL TIME	FS	G	GT	iem	INITIAL TIME	IV	K	KD	KI	LED	lr	LU	M	nic	nru	ntr	P	PT	PTY	PY	R	RCM	rw	SAVEPER	scgs	scgt	scmg	scms	sdc	SED	sgyt	spc	stm	T	tae	tai	tak	tam	TIME STEP	TMS	tsay	tsld	tssd	tsu	tsy	U	Y	yem
0	20500	14	0.25	0.77993	20000	12478.9	0	16000	0	0	0	125	0	-9.71445e-18	0	1000	1	500.001	6000	49295.8	1	4000	2000	49295.8	4000	1	1	20000	5	0.5	10	20000	4000	2000	-1	0	5800	49295.8	3521.13	3521.13	20000	0.03	0.05	4000	0.3	0.05	0.3	1	2.77556e-17	20000	16000	0.03	0	15000	0.0625	0	0	0	0	0	20000	1	0.0175	0	6000	0.4	0.4	3	0.0625	0.0625	4000	2.5	4	0.5	0.0625	2.5	0.05	20000	0.7
1	20294.9			0.77993	20068.6	12516.3	97.9406	16219.4	0.00677589	0	0	47.9247	-0.00871441	0.00785955	68.5584	-169.761	1.01899	208.575	6030.95	49468.7				49295.8	4000	1.01628						20086.3	4000	2000			5947.52	49329.3	3523.52	3569.97	20103.2		0.0350821	4000			0.3	1.00316	-0.0149179	20247.1	16048	0.0301668	0	15000	0.0625						20379.7				6094.02						4000						0.0345374	20313.4	
2	19879			0.77993	20121.1	12545	-11.0627	16065.4	-0.0164425	0	0	-53.8673	0.0154102	0.00361813	-7.74389	-336.556	1.00236	-179.849	6028.35	49317.4				49295.8	4000	1.00894						20058.9	4000	2000			6100.28	49351	3525.07	3513.87	20094.5		0.0405423	4000			0.3	1.01021	-0.00945769	20139.6	16084.8	0.0304345	0	15000	0.0625						20047.3				6028.04						4000						0.0415054	20093.5	
3	19890.8			0.77993	20074	12519.3	-64.6862	15938.6	-0.00537383	0	0	-37.5468	0.00608154	-0.00120755	-45.2803	21.764	0.993995	-110.519	6012.29	49198.3				49295.8	4000	0.996145						20001.3	4000	2000			6056.5	49321.1	3522.93	3482.02	20041		0.0532824	4000			0.3	1.01102	0.0032824	19944.7	16051.8	0.0304091	0	15000	0.0625						19879.9				5973.69						4000						0.0536625	19912.3	
4	20025.6			0.77993	20024.8	12492.4	-25.452	15972.8	0.00469096	0	0	0.412357	-0.00430463	-0.00102968	-17.8164	106.506	0.998619	40.4768	6007.2	49201.9				49295.8	4000	0.996743						19985.2	4000	2000			5991.01	49284.7	3520.33	3492.74	20024		0.0533632	4000			0.3	1.00964	0.00336321	19950	16017.4	0.0303154	0	15000	0.0625						19972.4				5988.36						4000						0.0530942	19961.2	
5	20017.8			0.77993	20015	12487.1	-0.0322214	16010.5	0.00154824	0	0	-2.04553	-0.00179905	0.000200965	-0.022555	-12.9095	1.00121	27.4407	6007.79	49217.3				49295.8	4000	1.00059						19990.3	4000	2000			5996.81	49264.1	3518.86	3503.26	20026		0.0495499	4000			0.3	1.00926	-0.00045008	20005.7	16010.5	0.0302936	0	15000	0.0625						20024.2				6004.48						4000						0.0494375	20014.9	
6	19960.9			0.77993	20012.2	12485.5	-8.83317	15993	-0.00205908	0	0	-14.1287	0.00189232	1.39038e-05	-6.18322	-46.974	0.999218	-24.493	6005.22	49194.5				49295.8	4000	1.00004						19985.4	4000	2000			6015.01	49248.1	3517.72	3499.85	20017.4		0.0498424	4000			0.3	1.00948	-0.000157591	19995.8	16008.5	0.0302972	0	15000	0.0625						19984.4				5997.02						4000						0.0499607	19990.1	
7	19955.7			0.77993	19999.2	12478.4	-14.9165	15973.3	-0.00097347	0	0	-11.8988	0.00104885	-0.000571358	-10.4415	-2.72628	0.997851	-19.7021	6000.98	49170.6				49295.8	4000	0.99824						19975.4	4000	2000			6008.86	49228.9	3516.35	3496.91	20003.3		0.0516061	4000			0.3	1.00919	0.00160612	19966.8	15999.4	0.0302747	0	15000	0.0625						19957				5988.58						4000						0.0516717	19961.9	
8	19973.9			0.77993	19986.7	12471.6	-8.7628	15975.3	0.00053609	0	0	-5.21015	-0.000471147	-0.000612076	-6.13396	14.8388	0.998324	2.50932	5998.42	49165.3				49295.8	4000	0.998109						19971.4	4000	2000			5997.42	49211.1	3515.08	3499.79	19994.7		0.0518257	4000			0.3	1.00855	0.0018257	19963.1	15990.7	0.0302425	0	15000	0.0625						19966.5				5989.43						4000						0.0517963	19964.8	
9	19977.1			0.77993	19981	12468.5	-3.18723	15981.1	0.000352387	0	0	-3.42529	-0.000370938	-0.000438081	-2.23106	2.08853	0.998801	5.12712	5997.23	49166				49295.8	4000	0.99866						19971.9	4000	2000			5995.18	49198.1	3514.15	3503.45	19990.8		0.0512965	4000			0.3	1.00803	0.0012965	19970	15986.7	0.0302207	0	15000	0.0625						19976				5991.9						4000						0.0512733	19973	
10	19972.4			0.77993	19978.4	12467.1	-2.42986	15980.6	-0.000113615	0	0	-3.68387	9.64408e-05	-0.000407898	-1.7009	-3.47268	0.998708	-0.0227265	5996.15	49164.5				49295.8	4000	0.998754						19972.5	4000	2000			5996.16	49188.8	3513.48	3505.38	19987.2		0.051178	4000			0.3	1.00762	0.00117798	19970.5	15984.9	0.0302056	0	15000	0.0625						19974.2				5991.69						4000						0.051184	19972.3	
